Audio_ID,Audio_Path,Audio_Info_ID,Speaker_ID,Background_Modifier_ID
1,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio29-park.webm,29,gkwmk,3
2,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio00-highway.webm,0,gkwmk,2
3,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio20-park.webm,20,gkwmk,3
4,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio22-park.webm,22,gkwmk,3
5,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio01-park.webm,1,gkwmk,3
6,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio02-cafe.webm,2,gkwmk,1
7,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio21-highway.webm,21,gkwmk,2
8,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio36-cafe.webm,36,gkwmk,1
9,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio23-park.webm,23,gkwmk,3
10,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio16-park.webm,16,gkwmk,3
11,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio08-highway.webm,8,gkwmk,2
12,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio34-highway.webm,34,gkwmk,2
13,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio36-highway.webm,36,gkwmk,2
14,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio06-cafe.webm,6,gkwmk,1
15,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio24.webm,24,gkwmk,0
16,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio27-park.webm,27,gkwmk,3
17,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio02-highway.webm,2,gkwmk,2
18,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio14-cafe.webm,14,gkwmk,1
19,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio09-highway.webm,9,gkwmk,2
20,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio34-cafe.webm,34,gkwmk,1
21,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio11-park.webm,11,gkwmk,3
22,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio37-highway.webm,37,gkwmk,2
23,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio27.webm,27,gkwmk,0
24,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio40.webm,40,gkwmk,0
25,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio21-park.webm,21,gkwmk,3
26,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio08-cafe.webm,8,gkwmk,1
27,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio15.webm,15,gkwmk,0
28,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio16.webm,16,gkwmk,0
29,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio04-park.webm,4,gkwmk,3
30,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio16-cafe.webm,16,gkwmk,1
31,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio40-highway.webm,40,gkwmk,2
32,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio03-park.webm,3,gkwmk,3
33,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio07.webm,7,gkwmk,0
34,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio22-highway.webm,22,gkwmk,2
35,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio26-park.webm,26,gkwmk,3
36,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio33.webm,33,gkwmk,0
37,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio14-park.webm,14,gkwmk,3
38,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio40-cafe.webm,40,gkwmk,1
39,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio09.webm,9,gkwmk,0
40,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio04-highway.webm,4,gkwmk,2
41,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio23-cafe.webm,23,gkwmk,1
42,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio43-highway.webm,43,gkwmk,2
43,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio15-cafe.webm,15,gkwmk,1
44,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio13-highway.webm,13,gkwmk,2
45,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio05.webm,5,gkwmk,0
46,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio47-park.webm,47,gkwmk,3
47,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio48.webm,48,gkwmk,0
48,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio36.webm,36,gkwmk,0
49,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio32-cafe.webm,32,gkwmk,1
50,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio27-cafe.webm,27,gkwmk,1
51,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio03-highway.webm,3,gkwmk,2
52,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio06.webm,6,gkwmk,0
53,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio38-highway.webm,38,gkwmk,2
54,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio13-cafe.webm,13,gkwmk,1
55,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio49-cafe.webm,49,gkwmk,1
56,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio17-park.webm,17,gkwmk,3
57,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio19-highway.webm,19,gkwmk,2
58,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio49-highway.webm,49,gkwmk,2
59,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio12-cafe.webm,12,gkwmk,1
60,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio26-highway.webm,26,gkwmk,2
61,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio14.webm,14,gkwmk,0
62,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio42-cafe.webm,42,gkwmk,1
63,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio35.webm,35,gkwmk,0
64,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio01.webm,1,gkwmk,0
65,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio05-highway.webm,5,gkwmk,2
66,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio28-cafe.webm,28,gkwmk,1
67,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio18.webm,18,gkwmk,0
68,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio07-cafe.webm,7,gkwmk,1
69,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio19.webm,19,gkwmk,0
70,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio37-cafe.webm,37,gkwmk,1
71,/home/hugo/Documents/kcl-project-preprocessing/2023-12-04-HMI-dataset/gkwmk/audio05-cafe.webm,5,gkwmk,1
